"","Gussng","Dffclt","Dscrmn"
"V1",2.54406774689491e-05,1.63604810667995,1.41479932249423
"V2",0.106400330097912,1.21445917814004,2.00696065757603
"V3",4.7537670660433e-05,0.81769009427238,1.20846460256896
"V4",0.0792608541872765,0.890029237995064,2.52991906172794
"V5",3.73051832807964e-05,0.257973546326131,1.35293453954249
"V6",5.73738382440677e-05,0.746575735671803,1.47990877378367
"V7",0.000164037211995824,0.477204545706243,0.881994605984439
"V8",3.45362189732279e-06,0.651561272155788,1.52609446924026
"V9",0.00165204380534899,0.656883534881798,1.88651205315548
"V10",2.13311954837593e-06,1.91914731954392,2.11496837183674
