"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"144",0.3009,0.4758,0.5668,0.626,0.7424,0.607,0.6217,0.6441,0.6738,0.1348
"145",0.3758,0.5814,0.6355,0.7488,0.7989,0.6869,0.6695,0.7222,0.7637,0.2047
"146",0.441,0.6647,0.6871,0.827,0.8372,0.7443,0.7057,0.7767,0.8225,0.2783
"147",0.4079,0.6235,0.6616,0.7902,0.8188,0.7163,0.6878,0.7503,0.7945,0.2394
"148",0.5351,0.7676,0.7519,0.9029,0.8807,0.812,0.7521,0.8394,0.8846,0.404
"149",0.2824,0.4486,0.5479,0.5899,0.7256,0.5844,0.6085,0.6216,0.647,0.1199
"150",0.355,0.553,0.6175,0.7184,0.7847,0.6664,0.657,0.7023,0.7414,0.1837
"151",0.4719,0.7008,0.7095,0.8561,0.8528,0.7683,0.7215,0.7991,0.8454,0.3171
"152",0.4582,0.685,0.6997,0.8437,0.8461,0.7579,0.7146,0.7894,0.8356,0.2996
"153",0.5947,0.8218,0.7886,0.9347,0.903,0.8478,0.7793,0.8717,0.9138,0.4936
"154",0.052,0.139,0.1837,0.1118,0.2865,0.1517,0.3126,0.1638,0.118,0.0071
"155",0.0882,0.1763,0.2678,0.164,0.4088,0.2448,0.3933,0.2657,0.2211,0.0165
"156",0.14,0.241,0.3631,0.2674,0.532,0.3583,0.4727,0.3879,0.3614,0.0351
"157",0.0722,0.1588,0.2329,0.1384,0.3595,0.2051,0.3614,0.2223,0.1753,0.0119
"158",0.1116,0.2042,0.3137,0.2074,0.4703,0.2988,0.4327,0.3241,0.2864,0.0241
"159",0.1543,0.2606,0.386,0.2998,0.5591,0.3862,0.4904,0.4175,0.3971,0.0414
"160",0.0838,0.1713,0.2585,0.1566,0.3959,0.2342,0.385,0.254,0.2085,0.0152
"161",0.1069,0.1984,0.3049,0.1982,0.4587,0.2882,0.4253,0.3127,0.2734,0.0225
"162",0.1505,0.2553,0.38,0.291,0.5521,0.3789,0.4858,0.4098,0.3877,0.0397
"163",0.2185,0.3535,0.4751,0.4506,0.6561,0.4958,0.5567,0.5319,0.5376,0.0756
"164",0.18,0.297,0.424,0.3599,0.6021,0.4329,0.5192,0.4667,0.4573,0.0539
"165",0.209,0.3394,0.4631,0.4284,0.6437,0.481,0.548,0.5167,0.5189,0.0699
"166",0.2639,0.4212,0.5282,0.5518,0.7075,0.5605,0.5945,0.5977,0.6182,0.106
"167",0.1402,0.2413,0.3635,0.2679,0.5324,0.3587,0.4729,0.3884,0.362,0.0352
"168",0.1677,0.2794,0.4062,0.3309,0.5823,0.411,0.5059,0.4437,0.4291,0.0477
"169",0.271,0.4318,0.5359,0.5668,0.7147,0.5699,0.6,0.6071,0.6296,0.1113
"170",0.3269,0.5134,0.5919,0.6728,0.7638,0.6366,0.6392,0.6733,0.7081,0.1573
"171",0.2984,0.4722,0.5643,0.6213,0.7402,0.604,0.62,0.6411,0.6703,0.1328
"172",0.2832,0.4498,0.5488,0.5915,0.7264,0.5854,0.6091,0.6226,0.6482,0.1206
"173",0.4829,0.7131,0.7172,0.8654,0.858,0.7764,0.727,0.8067,0.853,0.3316
"174",0.103,0.1936,0.2974,0.1907,0.4489,0.2794,0.419,0.3032,0.2626,0.0212
