,0
105,"[1.0, 0.05, 0.17, 0.99, -0.38]"
106,"[0.99, 1.0, 0.99, 0.94, -0.94]"
107,"[1.0, -0.89, -0.81, 0.99, 0.03]"
108,"[1.0, -0.95, -0.92, 0.99, 0.63]"
109,"[0.96, 1.0, 0.99, 0.83, -0.88]"
110,"[-0.99, 1.0, 1.0, -0.99, 0.78]"
111,"[-0.99, 1.0, 1.0, -0.99, 0.85]"
112,"[1.0, -0.98, -0.96, 1.0, 0.26]"
113,"[1.0, -1.0, -0.99, 1.0, 0.62]"
114,"[1.0, 0.95, 0.96, 0.97, -0.95]"
115,"[0.99, 0.99, 0.99, 0.92, -0.87]"
116,"[0.99, 0.99, 0.99, 0.94, -0.93]"
117,"[0.99, 0.99, 0.99, 0.96, -0.96]"
118,"[0.99, 0.99, 0.99, 0.98, -0.95]"
119,"[-0.99, 1.0, 1.0, -0.99, 0.86]"
120,"[1.0, -0.99, -0.97, 1.0, 0.06]"
121,"[1.0, -0.99, -0.98, 1.0, 0.79]"
122,"[0.99, 0.99, 0.99, 0.95, -0.93]"
123,"[1.0, 0.94, 0.95, 0.97, -0.95]"
124,"[1.0, -0.93, -0.88, 1.0, 0.1]"
125,"[0.99, 0.99, 0.99, 0.96, -0.96]"
126,"[0.99, 0.97, 0.96, 0.95, -0.86]"
127,"[0.99, 0.95, 0.94, 0.96, -0.8]"
128,"[1.0, -1.0, -0.99, 1.0, 0.49]"
129,"[-0.99, 1.0, 1.0, -0.99, 0.78]"
130,"[1.0, -0.18, 0.15, 0.99, -0.73]"
131,"[1.0, -0.48, -0.38, 0.99, -0.16]"
132,"[1.0, -0.14, 0.16, 0.99, -0.73]"
133,"[0.99, 0.99, 0.98, 0.94, -0.92]"
134,"[1.0, 0.3, 0.53, 1.0, -0.78]"
135,"[1.0, -1.0, -0.99, 0.99, 0.81]"
136,"[0.86, 1.0, 1.0, 0.78, -0.81]"
137,"[1.0, -0.89, -0.69, 0.99, -0.72]"
138,"[1.0, -0.97, -0.92, 1.0, 0.13]"
139,"[1.0, -0.96, -0.95, 0.98, 0.79]"
140,"[-0.99, 1.0, 1.0, -0.99, 0.87]"
141,"[-0.99, 1.0, 1.0, -0.99, 0.75]"
142,"[1.0, -0.96, -0.94, 0.99, 0.64]"
143,"[0.99, 0.94, 0.94, 0.96, -0.93]"
144,"[1.0, -0.58, -0.43, 0.99, -0.17]"
145,"[0.99, 0.98, 0.97, 0.94, -0.83]"
146,"[0.99, 0.98, 0.98, 0.97, -0.93]"
147,"[1.0, -0.99, -0.98, 1.0, 0.54]"
148,"[1.0, 0.23, 0.1, 0.97, -0.25]"
149,"[-1.0, 1.0, 1.0, -1.0, 0.89]"
